Timestamp,You consent with all of the information above?,How old are you?,What is your gender?,What is your occupation?,Do you like bullet heaven games such as Vampire Survivors or Brotato?,How often do you play video games?,I was able to control my character without any issues.,I was able to use and understand all the abilities at my disposal.,Which player are you?,I was able to understand how the score system works.,1. How will you play (indicated by the researcher)?,Study ID 1,Study ID 2,2. How will you play (indicated by the researcher)?,Study ID 3,3. How will you play (indicated by the researcher)?,Study ID 4,4. How will you play (indicated by the researcher)?,1. How would you rate your FOCUS?,4. How would you rate your FOCUS?,4. How would you rate your CHALLENGE?,1. How would you rate your CHALLENGE?,2. How would you rate your FOCUS?,2. How would you rate your CHALLENGE?,3. How would you rate your FOCUS?,3. How would you rate your CHALLENGE?,"1. If your answer wasn't 5, please explain why.","2. If your answer wasn't 5, please explain why.","3. If your answer wasn't 5, please explain why.",Column 17
16/06/2025 15:48:54,Continue,32,Male,,I have played/watched others play them enough to understand I don't like them.,I purposefully make time in my schedule to play video games.,5,2,Blue (P2),5,FOCUS - yourself,e2W9u5RufuUu,e2W9u5MkrGuE,FOCUS - partner,e2W9u53Q3zYa,FOCUS - yourself,e2W9u5q6uDcZ,FOCUS - partner,1,1,,,2,,2,,,"While the shooting is easy to understand, the main ability is not. Making it hard to easily start the game with all the mechanisms used. Perhaps simply replaying the tutorial might help.",,
16/06/2025 15:48:57,Continue,25,Female,,I have played/watched others play them enough to understand I don't like them.,I purposefully make time in my schedule to play video games.,5,5,Orange (P1),5,FOCUS - yourself,e2W9u5RufuUu,e2W9u5MkrGuE,FOCUS - yourself,e2W9u53Q3zYa,FOCUS - partner,e2W9u5q6uDcZ,FOCUS - partner,1,4,,,1,,4,,,,,
16/06/2025 16:46:59,Continue,25,Female,,I have played/watched others play them enough to understand I don't like them.,I purposefully make time in my schedule to play video games.,5,5,Blue (P2),5,FOCUS - yourself,EVb3AAK4jvZO,EVb3AAN5FZxr,FOCUS - partner,EVb3AAxEBQ5G,FOCUS - yourself,EVb3AAf8musj,FOCUS - partner,1,5,,,5,,1,,,,,
16/06/2025 16:47:09,Continue,24,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I purposefully make time in my schedule to play video games.,4,3,Orange (P1),4,FOCUS - yourself,EVb3AAK4jvZO,EVb3AAN5FZxr,FOCUS - yourself,EVb3AAxEBQ5G,FOCUS - partner,EVb3AAf8musj,FOCUS - partner,1,4,,,2,,3,,wasn't following the consequences of the inputs or not reading the instructions correctly,It took a while to understand the buff system,I thought it added both players kill count? it actually uses the life points of the enemies killed,
16/06/2025 17:29:13,Continue,23,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,4,Blue (P2),5,FOCUS - yourself,xlqsjMyV6pzy,xlqsjMR2wf19,FOCUS - partner,xlqsjM0HbtKz,FOCUS - yourself,xlqsjMQ3d5D5,FOCUS - partner,1,4,,,3,,5,,,De buff slightly confusing at first,,
16/06/2025 17:29:23,Continue,26,Female,,I have played/watched others play them and I like them.,I ocasionally play video games when the opportunity presents itself.,5,5,Orange (P1),5,FOCUS - yourself,xlqsjMyV6pzy,xlqsjMR2wf19,FOCUS - yourself,xlqsjM0HbtKz,FOCUS - partner,xlqsjMQ3d5D5,FOCUS - partner,1,3,,,2,,3,,,,,
16/06/2025 17:57:04,Continue,22,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,4,5,Blue (P2),3,FOCUS - yourself,GLh037RO4wiv,GLh037ldaudr,FOCUS - partner,GLh037TLeeiU,FOCUS - yourself,GLh037Owzl4m,FOCUS - partner,1,3,,,4,,1,,"I'd like more control of the character itself, have it me more responsible.",,"I'm not sure if I got why do I have to buff my or my other self's enemies, I get a higher score?",
16/06/2025 17:57:05,Continue,23,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I ocasionally play video games when the opportunity presents itself.,5,3,Orange (P1),3,FOCUS - yourself,GLh037RO4wiv,GLh037Idaudr,FOCUS - yourself,GLh037TLeeiU,FOCUS - partner,GLh037OwzI4m,FOCUS - partner,1,3,,,1,,3,,,nao percebi o efeito do buff,nao percebi os scores,
01/07/2025 18:37:14,Continue,24,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I purposefully make time in my schedule to play video games.,5,1,Blue (P2),5,FOCUS - yourself,EclXGsPG4PjL,EclXGsobHfFU,FOCUS - partner,EclXGsU1VRx4,FOCUS - yourself,EclXGsAAKhEB,FOCUS - partner,1,4,,,3,,1,,,Nao estavam explicadas o que cada habilidade fazia,,
01/07/2025 18:37:18,Continue,24,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I purposefully make time in my schedule to play video games.,5,5,Orange (P1),3,FOCUS - yourself,EcIXGsPG4PjL,EcIXGsobHfFU,FOCUS - yourself,EcIXGsU1VRx4,FOCUS - partner,EcIXGsAAKhEB,FOCUS - partner,2,3,,,1,,5,,,,,
01/07/2025 18:37:53,Continue,24,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I ocasionally play video games when the opportunity presents itself.,5,2,Blue (P2),5,FOCUS - yourself,gzaZ5KmpHdRP,gzaZ5KFZT2LX ,FOCUS - partner,gzaZ5KWFaKrq,FOCUS - yourself,gzaZ5KzsibxS,FOCUS - partner,5,5,,,3,,5,,,Não percebi o que as habilidades faziam nem como ativá-las os efeitos das habilidades não foram perceptíveis ,,
01/07/2025 18:38:05,Continue,25,Male,,I have played/watched others play them and I like them.,I ocasionally play video games when the opportunity presents itself.,5,5,Orange (P1),5,FOCUS - yourself,gzaZ5KmpHdRP,gzaZ5KFZT2LX,FOCUS - yourself,gzaZ5KWFaKrq,FOCUS - partner,gzaZ5KzsibxS,FOCUS - partner,4,3,,,4,,3,,,,,
01/07/2025 18:42:18,Continue,24,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Orange (P1),5,FOCUS - yourself,dFnaoU2Jvf5a,dFnaoURCKAxu,FOCUS - partner,dFnaoUXHi3gQ,FOCUS - yourself,dFnaoUiXJQs3,FOCUS - partner,5,2,,,3,,5,,,,,
01/07/2025 18:42:17,Continue,25,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Blue (P2),5,FOCUS - yourself,dFnaoU2Jvf5a,dFnaoURCKAxu,FOCUS - yourself,dFnaoUXHi3gQ,FOCUS - partner,dFnaoUiXJQs3,FOCUS - partner,5,1,,,4,,5,,,,,
01/07/2025 18:45:34,Continue,25,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,4,5,Orange (P1),5,FOCUS - yourself,qn3l5oboEyx5,qn3l5oak2xl1,FOCUS - yourself,qn3l5oian3Us,FOCUS - partner,qn3l5ozOpE3c,FOCUS - partner,5,4,,,5,,3,,The L1 trigger did not respond instantly,,,
01/07/2025 18:45:47,Continue,24,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I purposefully make time in my schedule to play video games.,5,3,Blue (P2),4,FOCUS - yourself,qn3l5oboEyx5,qn3l5oak2xl1,FOCUS - partner,qn3l5oian3Us,FOCUS - yourself,qn3l5ozOpE3c,FOCUS - partner,4,2,,,3,,5,,,"It took a while to understand, the tutorial was too overwhelming",I understand killing gives points I just don't understand how many per enemy,
01/07/2025 19:04:13,Continue,24,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I purposefully make time in my schedule to play video games.,5,5,Blue (P2),5,FOCUS - partner,ukMw1KroRJNT,ukMw1KRNSFIfM,FOCUS - yourself,ukMw1KZ4OIZZ,FOCUS - partner,ukMw1K83m4G5,FOCUS - yourself,5,1,,,1,,5,,,,,
01/07/2025 19:06:55,Continue,25,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Orange (P1),5,FOCUS - partner,gzaZ5KQwHrtt,gzaZ5KJ5VBbZ,FOCUS - yourself,gzaZ5KgMiLKO,FOCUS - partner,gzaZ5KXmogko,FOCUS - yourself,1,4,,,5,,1,,,,,
01/07/2025 19:07:09,Continue,24,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I ocasionally play video games when the opportunity presents itself.,5,5,Blue (P2),5,FOCUS - partner,gzaZ5KQwHrtt,gzaZ5KJ5VBbZ,FOCUS - partner,gzaZ5KgMiLKO,FOCUS - yourself,gzaZ5KXmogko,FOCUS - yourself,4,5,,,5,,5,,,,,
01/07/2025 19:07:22,Continue,25,Male,,I have played/watched others play them and I like them.,I ocasionally play video games when the opportunity presents itself.,5,5,Orange (P1),5,FOCUS - partner,ukMw1KroRJNT,ukMw1KRNSFIfM,FOCUS - partner,ukMw1KZ4OIZZ,FOCUS - yourself,ukMw1K83m4G5,FOCUS - yourself,5,5,,,5,,5,,,,,
01/07/2025 19:08:12,Continue,25,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I purposefully make time in my schedule to play video games.,5,5,Blue (P2),5,FOCUS - partner,VHRYoco7Oww7,VHRYocw0blfK,FOCUS - partner,VHRYoc28n7Hg,FOCUS - yourself,VHRYocEOGzQz,FOCUS - yourself,5,5,,,5,,4,,,,,
01/07/2025 19:08:14,Continue,25,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Orange (P1),5,FOCUS - partner,VHRYoco7Oww7,VHRYocw0blfK,FOCUS - yourself,VHRYoc28n7Hg,FOCUS - partner,VHRYocEOGzQz,FOCUS - yourself,4,5,,,4,,3,,,,,
01/07/2025 19:20:32,Continue,24,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I purposefully make time in my schedule to play video games.,5,5,Blue (P2),5,FOCUS - partner,X5Jph6h8Jh7c,X5Jph6Fg8w1Z,FOCUS - partner,X5Jph6lrhmMC,FOCUS - partner,X5Jph68HYfXf,FOCUS - yourself,4,4,,,4,,4,,,,,
01/07/2025 19:32:58,Continue,24,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Orange (P1),5,FOCUS - partner,X5Jph6h8Jh7c,X5Jph6Fg8w1Z,FOCUS - yourself,X5Jph6lrhmMC,FOCUS - partner,X5Jph68HYfXf,FOCUS - yourself,1,1,,,3,,2,,,,,
01/07/2025 19:33:16,Continue,25,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Orange (P1),5,FOCUS - yourself,Gh0zUXAF4TXz,Gh0zUXleb39J,FOCUS - partner,Gh0zUXRUyO5C,FOCUS - yourself,Gh0zUXVmGL0X,FOCUS - partner,5,5,,,2,,3,,,,,
01/07/2025 19:33:18,Continue,25,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Blue (P2),5,FOCUS - yourself,Gh0zUXAF4TXz,Gh0zUXleb39J,FOCUS - yourself,Gh0zUXRUyO5C,FOCUS - partner,Gh0zUXVmGL0X,FOCUS - partner,5,3,,,5,,2,,,,,
01/07/2025 19:38:41,Continue,24,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I purposefully make time in my schedule to play video games.,5,5,Blue (P2),5,FOCUS - yourself,A4J07TZu7fQ2,A4J07TPBSuai,FOCUS - yourself,A4J07T6V0E73,FOCUS - partner,A4J07TOXsE93,FOCUS - partner,4,4,,,5,,4,,,,,
01/07/2025 19:38:47,Continue,24,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I ocasionally play video games when the opportunity presents itself.,5,5,Orange (P1),5,FOCUS - yourself,A4J07TZu7fQ2,A4J07TPBSuai,FOCUS - partner,A4J07T6V0E73,FOCUS - yourself,A4J07TOXsE93,FOCUS - partner,4,5,,,5,,1,,,,,
01/07/2025 19:41:19,Continue,24,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I purposefully make time in my schedule to play video games.,5,5,Orange (P1),5,FOCUS - yourself,WxhEShuT5UhF,wxhEShE8go1f,FOCUS - partner,WxhEShA2dJmz,FOCUS - partner,wxhEShMp5W57,FOCUS - yourself,1,3,,,4,,3,,,,,
01/07/2025 19:41:23,Continue,25,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Blue (P2),5,FOCUS - yourself,WxhEShuT5UhF,wxhEShE8go1f,FOCUS - yourself,wxhEShA2dJmz,FOCUS - partner,wxhEShMp5W57,FOCUS - partner,5,5,,,5,,5,,,,,
01/07/2025 19:55:04,Continue,24,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Orange (P1),5,FOCUS - yourself,A8EHBIYcCPHl,A8EHBIhxVwqG,FOCUS - partner,A8EHBIQMAY7R,FOCUS - yourself,A8EHBIxXLmP4,FOCUS - partner,5,3,,,4,,5,,,,,
01/07/2025 19:55:08,Continue,25,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I purposefully make time in my schedule to play video games.,5,5,Blue (P2),5,FOCUS - yourself,A8EHBIYcCPHl,A8EHBIhxVwqG,FOCUS - yourself,A8EHBIQMAY7R,FOCUS - partner,A8EHBIxXLmP4,FOCUS - partner,5,4,,,3,,5,,,,,
01/07/2025 20:04:51,Continue,25,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Orange (P1),5,FOCUS - partner,MG6rP7zeY6YP,MG6rP7ZCq4EX,FOCUS - partner,MG6rP73glYr5,FOCUS - yourself,MG6rP7vjlp5d,FOCUS - yourself,5,5,,,5,,5,,,,,
01/07/2025 20:08:13,Continue,25,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Blue (P2),5,FOCUS - partner,MG6rP7zeY6YP,MG6rP7ZCq4EX,FOCUS - yourself,MG6rP73glYr5,FOCUS - partner,MG6rP7vjlp5d,FOCUS - yourself,3,3,,,5,,2,,,,,
01/07/2025 21:23:41,Continue,24,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Orange (P1),5,FOCUS - partner,xTNFFEsfWutE,xTNFFEWs99bM,FOCUS - yourself,xTNFFEwPwQnI,FOCUS - partner,xTNFFEe7kKiY,FOCUS - yourself,2,5,,,5,,4,,,,,
01/07/2025 21:23:45,Continue,25,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Blue (P2),5,FOCUS - partner,xTNFFEsfWutE,xTNFFEWs99bM,FOCUS - partner,xTNFFEwPwQnI,FOCUS - yourself,xTNFFEe7kKiY,FOCUS - yourself,4,4,,,4,,3,,,,,
01/07/2025 21:28:21,Continue,24,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I purposefully make time in my schedule to play video games.,5,5,Blue (P2),5,FOCUS - partner,YcjPeUb9iqUo,YcjPeUNd94dm,FOCUS - yourself,YcjPeUJTgYQ2,FOCUS - partner,YcjPeUfWPCEt,FOCUS - yourself,5,1,,,1,,5,,,,,
01/07/2025 21:32:10,Continue,24,Male,,I have played/watched others play them enough to understand I don't like them.,I ocasionally play video games when the opportunity presents itself.,5,5,Orange (P1),5,FOCUS - yourself,YcjPeUb9iqUo,YcjPeUNd94dm,FOCUS - partner,YcjPeUJTgYQ2,FOCUS - yourself,YcjPeUfWPCEt,FOCUS - yourself,5,1,,,5,,1,,,,,
01/07/2025 21:34:43,Continue,25,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I purposefully make time in my schedule to play video games.,5,5,Orange (P1),5,FOCUS - partner,i0hRyXnqjH8m,i0hRyXEFrZqw,FOCUS - partner,i0hRyXNtODhh,FOCUS - yourself,i0hRyXsZuRVx,FOCUS - yourself,3,5,,,3,,5,,,,,
01/07/2025 21:34:45,Continue,24,Male,,I have played/watched others play them and I like them.,I do not play video games.,5,5,Blue (P2),5,FOCUS - partner,i0hRyXnqjH8m,i0RyXEFrZqw,FOCUS - yourself,i0hRyXNtODhh,FOCUS - partner,i0hRyXsZuRVx,FOCUS - yourself,4,4,,,4,,4,,,,,
01/07/2025 21:41:15,Continue,24,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I purposefully make time in my schedule to play video games.,5,5,Orange (P1),5,FOCUS - yourself,DUAYyb2Vtpww,DUAYyb9VbZlO,FOCUS - partner,DUAYybmbMobK,FOCUS - yourself,DUAYybnpaeRu,FOCUS - partner,1,5,,,3,,1,,,,,
01/07/2025 21:41:18,Continue,25,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Blue (P2),5,FOCUS - yourself,DUAYyb2Vtpww,DUAYyb9VbZlO,FOCUS - yourself,DUAYybmbMobK,FOCUS - partner,DUAYybnpaeRu,FOCUS - partner,4,3,,,5,,3,,,,,
01/07/2025 21:49:02,Continue,24,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I purposefully make time in my schedule to play video games.,5,5,Blue (P2),5,FOCUS - yourself,bAVwxJ7XlaQj,bAVwxJORQEYL,FOCUS - partner,bAVwxJl0Ca7y,FOCUS - yourself,bAVwxJR6A6LK,FOCUS - partner,1,5,,,5,,1,,,,,
01/07/2025 21:52:09,Continue,24,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Orange (P1),5,FOCUS - yourself,bAVwxJ7XlaQj,bAVwxJ0RQEYL,FOCUS - yourself,bAVwxJl0Ca7y,FOCUS - partner,bAVwxJR6A6LK,FOCUS - partner,5,4,,,5,,3,,,,,
01/07/2025 21:55:17,Continue,24,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I do not play video games.,5,5,Orange (P1),5,FOCUS - yourself,6t7WiRJz6MM8,6t7WiRt6Y7Vq,FOCUS - partner,6t7WiRm8xmMM,FOCUS - yourself,6t7WiR8xinXD,FOCUS - partner,1,5,,,5,,1,,,,,
01/07/2025 21:55:21,Continue,25,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Blue (P2),5,FOCUS - yourself,6t7WiRJz6MM8,6t7WiRt6Y7Vq,FOCUS - yourself,6t7WiRm8xmMM,FOCUS - partner,6t7WiR8xinXD,FOCUS - partner,5,3,,,2,,3,,,,,
